Nombres,Servidores,Clases,Cotas,Ganados,Perdidos,Niveles,% Winrate,Puntos
Soo-Rengar,Terra Cogita,Zurcarak,1038,52,52,200.0,50.0,4373
Karma-Il,Oshimo,Sadida,1035,60,40,200.0,60.0,4372
Ryger,Dodge,Pandawa,994,71,38,200.0,65.14,4366
Tini-eni,Brutas,Aniripsa,1106,30,14,200.0,68.18,4364
Yacoba,Oshimo,Yopuka,954,80,52,200.0,60.61,4357
Sitting-Bull,Brutas,Feca,968,81,50,200.0,61.83,4350
Ajuda-Amor,Brutas,Sram,913,144,134,200.0,51.8,4350
Miss-Skull,Terra Cogita,Sram,954,45,2,200.0,95.74,4350
Dagida,Dodge,Sadida,974,72,38,200.0,65.45,4350
Chlore-acide,Oshimo,Aniripsa,1125,48,48,200.0,50.0,4348
Umadbrah,Terra Cogita,Sacrogrito,1105,26,12,200.0,68.42,4345
Mac-lorde,Herdegrize,Osamodas,902,197,205,200.0,49.0,4341
Abdelilou,Oshimo,Osamodas,1069,31,21,200.0,59.62,4340
Lasuyaa,Brutas,Sadida,1004,79,49,200.0,61.72,4339
Amanecer,Grandapan,Yopuka,852,77,45,200.0,63.11,4325
Non-Jveuxpas,Herdegrize,Aniripsa,969,83,53,200.0,61.03,4325
Taacoma,Brutas,Sram,964,57,20,200.0,74.03,4304
Dark-Elminster,Oshimo,Xelor,1015,58,28,200.0,67.44,4303
Merced,Brutas,Sram,946,97,72,200.0,57.4,4301
Serial-killers,Herdegrize,Sadida,1055,32,10,200.0,76.19,4301
Sombre-mortel,Herdegrize,Sram,953,81,51,200.0,61.36,4295
Eni-eme,Herdegrize,Aniripsa,1029,50,14,200.0,78.12,4292
Atake-mortex,Herdegrize,Sacrogrito,1117,24,17,200.0,58.54,4288
Pilompuie,Herdegrize,Sram,1002,71,59,200.0,54.62,4285
Ghetto-fabulous,Oshimo,Aniripsa,1143,20,7,200.0,74.07,4283
Weednosdias,Brutas,Yopuka,972,111,93,200.0,54.41,4261
Sr-Whisky,Brutas,Yopuka,1039,38,18,200.0,67.86,4258
Huskoo,Herdegrize,Sadida,988,88,67,200.0,56.77,4253
Ounii,Oshimo,Pandawa,1017,49,21,200.0,70.0,4251
Makalani,Brutas,Pandawa,909,56,18,200.0,75.68,4250
Lo-Rd,Terra Cogita,Xelor,1037,38,7,200.0,84.44,4250
Tinousaure,Oshimo,Yopuka,936,50,10,200.0,83.33,4250
Caniplouff,Terra Cogita,Zurcarak,833,50,10,199.0,83.33,4250
Mr-Merlin,Oshimo,Feca,1048,33,3,200.0,91.67,4243
Khamax,Oshimo,Yopuka,1095,17,9,200.0,65.38,4236
Undesix,Herdegrize,Pandawa,1089,40,31,200.0,56.34,4231
Airtap,Terra Cogita,Ocra,942,56,21,200.0,72.73,4229
Ishouu,Herdegrize,Sram,864,82,53,200.0,60.74,4225
John-Johns,Brutas,Pandawa,972,157,153,200.0,50.65,4225
Lord-Midas,Brutas,Anutrof,960,82,53,200.0,60.74,4225
Sharou,Dodge,Aniripsa,1142,18,6,200.0,75.0,4225
Tec-ila,Terra Cogita,Aniripsa,1065,47,23,200.0,67.14,4222
Te-Boca,Terra Cogita,Xelor,1056,46,30,200.0,60.53,4211
Montrace,Oshimo,Yopuka,1019,33,9,200.0,78.57,4208
Akourrir,Herdegrize,Pandawa,1113,29,14,200.0,67.44,4204
Marquisee,Herdegrize,Ocra,990,146,156,200.0,48.34,4204
Fosil,Brutas,Sram,920,78,48,200.0,61.9,4200
El-maqueavelico,Brutas,Pandawa,955,105,84,200.0,55.56,4200
Shouto,Terra Cogita,Ocra,1049,40,33,200.0,54.79,4197
Fargzi,Oshimo,Sram,986,71,47,200.0,60.17,4197
Lovac,Brutas,Ocra,943,76,62,200.0,55.07,4190
Psycho-transe,Herdegrize,Zobal,1025,75,69,200.0,52.08,4189
Tirtarros,Oshimo,Tymador,1058,27,12,200.0,69.23,4188
Wilaste,Terra Cogita,Pandawa,1053,42,39,200.0,51.85,4186
Weus,Brutas,Aniripsa,1073,45,13,200.0,77.59,4181
Tata-hakuna,Herdegrize,Feca,957,75,45,200.0,62.5,4177
Jardinier-Pro,Herdegrize,Xelor,1104,25,14,200.0,64.1,4163
Foucleps,Terra Cogita,Xelor,1146,16,7,200.0,69.57,4159
Unmagicien,Herdegrize,Xelor,1064,42,26,200.0,61.76,4156
Pwoblem,Terra Cogita,Ocra,1000,43,26,200.0,62.32,4143
Time-life,Brutas,Sacrogrito,984,54,17,200.0,76.06,4140
Playboyl,Brutas,Ocra,923,108,93,200.0,53.73,4139
Harleyy-Queen,Dodge,Yopuka,1082,27,21,200.0,56.25,4137
Ero-Tasoeur,Herdegrize,Zurcarak,971,66,58,200.0,53.23,4136
Torres-l,Oshimo,Tymador,1054,27,17,200.0,61.36,4131
Wargx,Oshimo,Feca,969,110,112,200.0,49.55,4129
Jojonesan,Dodge,Sacrogrito,962,93,69,200.0,57.41,4125
Mc-Nach,Brutas,Sram,907,66,33,200.0,66.67,4125
Klaydo,Herdegrize,Sacrogrito,965,66,33,200.0,66.67,4125
Musolini,Grandapan,Aniripsa,966,48,9,200.0,84.21,4125
The-Sadiik,Herdegrize,Sram,1003,90,74,200.0,54.88,4120
Rhuit,Herdegrize,Aniripsa,1013,62,28,200.0,68.89,4120
Kaynash,Terra Cogita,Feca,994,48,10,200.0,82.76,4113
Raiha,Oshimo,Zobal,1031,70,60,200.0,53.85,4110
Castel-ll,Grandapan,Zurcarak,867,68,36,200.0,65.38,4100
Cosmoloss,Oshimo,Feca,895,74,44,199.0,62.71,4100
Tite-invisi,Oshimo,Sram,1055,30,17,200.0,63.83,4099
Elmaquiavelico,Brutas,Yopuka,1045,26,8,200.0,76.47,4097
Jango-nedozo,Herdegrize,Pandawa,1026,74,59,200.0,55.64,4096
Arcanami,Terra Cogita,Sadida,1027,69,40,200.0,63.3,4094
Doddotix-candhu,Brutas,Ocra,947,65,39,200.0,62.5,4093
Andy-carrazcoo,Brutas,Yopuka,952,88,63,200.0,58.28,4090
Manissa,Terra Cogita,Yopuka,1120,10,0,200.0,100.0,4090
Griven,Terra Cogita,Aniripsa,1139,22,12,200.0,64.71,4085
Tengo-perico,Brutas,Sram,1046,27,8,200.0,77.14,4083
Zinella,Herdegrize,Sacrogrito,960,98,78,200.0,55.68,4082
Yazuri-yamilee,Brutas,Xelor,914,91,67,200.0,57.59,4075
Lowblow,Brutas,Pandawa,951,76,47,200.0,61.79,4075
Ben-laddaine,Oshimo,Tymador,1065,21,7,200.0,75.0,4071
Aleosa,Oshimo,Sram,937,156,155,200.0,50.16,4069
Gotros,Herdegrize,Zurcarak,956,38,0,200.0,100.0,4067
Cerbero-lion,Brutas,Feca,1052,68,51,200.0,57.14,4063
Kiki-Dcopain,Herdegrize,Ocra,936,38,0,200.0,100.0,4062
Axf,Herdegrize,Aniripsa,1101,26,10,200.0,72.22,4060
Allianae,Terra Cogita,Osamodas,956,124,116,200.0,51.67,4058
Ehenriquez,Brutas,Sram,954,76,51,200.0,59.84,4053
Sceaudo-Maso,Herdegrize,Sacrogrito,978,75,46,200.0,61.98,4051
Darkx-oxcuro,Brutas,Sram,945,72,42,200.0,63.16,4050
Ibacache,Brutas,Yopuka,872,51,14,200.0,78.46,4050
Sekepiz,Brutas,Ocra,919,109,93,200.0,53.96,4040
Claudia-Chaudie,Terra Cogita,Pandawa,977,131,136,200.0,49.06,4026
Stivenlocoo,Brutas,Yopuka,917,62,29,200.0,68.13,4025
Anthology-o,Brutas,Pandawa,914,83,57,200.0,59.29,4025
Tengu-gelifux,Brutas,Aniripsa,955,65,33,200.0,66.33,4025
Seith,Herdegrize,Pandawa,1029,62,41,200.0,60.19,4025
Skjaldmo-Valkyr,Herdegrize,Aniripsa,1052,104,100,200.0,50.98,4024
Tonpere-Ledepre,Herdegrize,Sacrogrito,1009,55,25,200.0,68.75,4011
Youkazou,Terra Cogita,Steamer,953,86,62,200.0,58.11,4002
Dakity,Brutas,Aniripsa,934,82,56,200.0,59.42,4000
Flitzzy,Herdegrize,Zurcarak,913,100,80,200.0,55.56,4000
Cryter,Herdegrize,Ocra,987,25,0,200.0,100.0,3995
Boulevard-Avroy,Herdegrize,Anutrof,1138,18,8,200.0,69.23,3994
Khaos-createur,Terra Cogita,Zobal,1010,76,52,200.0,59.38,3988
Lady-Marge,Terra Cogita,Sadida,1053,35,28,200.0,55.56,3977
Draaveen,Oshimo,Yopuka,857,93,71,200.0,56.71,3975
Xataka,Grandapan,Pandawa,875,93,71,200.0,56.71,3975
Utchuha,Terra Cogita,Sacrogrito,1005,71,42,200.0,62.83,3973
Bicoxx,Oshimo,Anutrof,1071,20,4,200.0,83.33,3972
Scho-Hauer,Brutas,Xelor,1012,46,9,200.0,83.64,3960
Depucele-moi,Oshimo,Sacrogrito,1033,38,7,200.0,84.44,3958
Gear-heal,Terra Cogita,Aniripsa,1124,24,11,200.0,68.57,3954
Sake-san,Terra Cogita,Pandawa,1028,53,30,200.0,63.86,3953
Mienai,Terra Cogita,Sram,1031,74,61,200.0,54.81,3951
Marry,Oshimo,Feca,975,167,170,200.0,49.55,3951
Perw,Oshimo,Yopuka,1000,55,27,200.0,67.07,3949
Royalino,Terra Cogita,Pandawa,1088,18,6,200.0,75.0,3941
Eikichi-oniuka,Herdegrize,Sadida,773,29,17,200.0,63.04,3940
Demon-Laplace,Brutas,Ocra,932,79,53,200.0,59.85,3939
Elrey-acosta,Brutas,Sacrogrito,917,97,77,200.0,55.75,3925
Kance-Powa,Herdegrize,Osamodas,1036,50,27,200.0,64.94,3925
Drunk-crizu,Brutas,Pandawa,942,91,69,200.0,56.88,3925
Mariacachaffa,Grandapan,Aniripsa,898,55,21,200.0,72.37,3925
Yasit,Herdegrize,Zurcarak,955,47,22,200.0,68.12,3924
Skyllii,Terra Cogita,Feca,979,126,116,200.0,52.07,3923
Peoples,Terra Cogita,Sacrogrito,1137,17,11,200.0,60.71,3918
Synergy,Terra Cogita,Zobal,1116,15,5,200.0,75.0,3916
Tarr-Tarr,Oshimo,Yopuka,1058,31,10,200.0,75.61,3913
Maitres-yoda,Oshimo,Sacrogrito,1017,69,57,200.0,54.76,3912
Narimanka,Dodge,Sadida,949,78,52,200.0,60.0,3910
Orte-Fe,Brutas,Feca,1013,97,90,200.0,51.87,3909
Youare-Next,Terra Cogita,Sram,1009,42,19,200.0,68.85,3907
Xenorus,Oshimo,Feca,1066,33,14,200.0,70.21,3906
Goulgar,Oshimo,Yopuka,1010,37,15,200.0,71.15,3904
Kanasukre,Terra Cogita,Pandawa,883,39,0,200.0,100.0,3900
Be-Weez,Terra Cogita,Feca,960,99,80,200.0,55.31,3900
Telo-engrapo,Brutas,Anutrof,933,99,80,200.0,55.31,3900
Yorg-Lkr,Brutas,Zobal,924,69,40,200.0,63.3,3900
Kalamity-Jeanne,Oshimo,Aniripsa,996,51,16,200.0,76.12,3900
Psyco-Pata,Grandapan,Zobal,928,66,36,200.0,64.71,3900
Erotic,Dodge,Pandawa,1032,43,26,200.0,62.32,3899
Kyubi-l,Oshimo,Pandawa,1058,32,20,200.0,61.54,3899
Cceleste,Terra Cogita,Sacrogrito,996,54,23,200.0,70.13,3897
Mokkii,Terra Cogita,Zobal,1017,57,36,200.0,61.29,3896
Mystibulles,Herdegrize,Aniripsa,1048,33,24,200.0,57.89,3892
Hashian,Dodge,Pandawa,1071,38,28,200.0,57.58,3889
Miss-Niismo,Terra Cogita,Osamodas,1046,36,23,200.0,61.02,3885
Wyjdene,Terra Cogita,Aniripsa,1114,20,7,200.0,74.07,3882
Guim-li,Herdegrize,Anutrof,1079,20,7,200.0,74.07,3882
Blueian,Brutas,Sram,949,83,62,200.0,57.24,3880
Spathium,Brutas,Xelor,950,101,83,200.0,54.89,3875
Hydmir,Herdegrize,Anutrof,958,65,35,200.0,65.0,3875
Pedrozumab,Oshimo,Zurcarak,930,104,87,200.0,54.45,3875
Giripx,Brutas,Zurcarak,901,65,35,200.0,65.0,3875
Kolimerox,Herdegrize,Zobal,1144,12,5,200.0,70.59,3863
Remedium,Brutas,Aniripsa,1033,64,38,200.0,62.75,3856
Insolente,Herdegrize,Aniripsa,1164,13,4,200.0,76.47,3854
Emma-o,Brutas,Sram,959,105,94,200.0,52.76,3850
Judimi,Brutas,Sram,897,121,110,199.0,52.38,3850
Kinesha,Brutas,Sram,901,61,30,200.0,67.03,3850
Fekril,Herdegrize,Feca,1006,44,9,200.0,83.02,3848
Sangvin,Herdegrize,Zurcarak,1016,74,61,200.0,54.81,3848
Gobota,Herdegrize,Osamodas,997,37,5,200.0,88.1,3847
Gcodeyn,Brutas,Aniripsa,1046,63,35,200.0,64.29,3841
Noocx,Herdegrize,Xelor,1024,54,27,200.0,66.67,3839
Walton,Dodge,Aniripsa,1104,23,6,200.0,79.31,3831
Raiz-un,Terra Cogita,Feca,1155,12,4,200.0,75.0,3827
Healta,Brutas,Sadida,936,117,105,200.0,52.7,3826
Al-ux,Terra Cogita,Feca,959,42,5,200.0,89.36,3825
Juggernaut-ll,Brutas,Yopuka,935,111,97,200.0,53.37,3825
Jolie-Nana,Herdegrize,Sadida,1005,98,82,200.0,54.44,3821
Navillera,Oshimo,Yopuka,1006,42,16,200.0,72.41,3820
No-Cac,Oshimo,Ocra,977,72,80,200.0,47.37,3815
Gazo-duc,Herdegrize,Steamer,1019,39,20,200.0,66.1,3802
Morsito,Brutas,Aniripsa,1056,51,32,200.0,61.45,3801
Guernica,Herdegrize,Sram,973,48,14,200.0,77.42,3800
Vaalery,Dodge,Aniripsa,944,38,0,199.0,100.0,3800
Gresly,Dodge,Sram,946,38,0,200.0,100.0,3800
Saicoxwx,Brutas,Sadida,960,113,100,200.0,53.05,3800
Daenerys-Trg,Grandapan,Ocra,897,74,48,200.0,60.66,3800
Sergent-Tankxon,Oshimo,Ocra,906,38,0,200.0,100.0,3800
Valars,Oshimo,Sacrogrito,846,38,0,200.0,100.0,3800
Tangamandapio,Brutas,Xelor,909,38,0,200.0,100.0,3800
Guardian-Prince,Grandapan,Aniripsa,1033,44,9,200.0,83.02,3799
Zoledad,Brutas,Aniripsa,1127,21,9,200.0,70.0,3794
Lakina,Oshimo,Sram,1071,25,16,200.0,60.98,3793
El-tramposoo,Brutas,Sram,963,100,83,200.0,54.64,3791
Sstop,Brutas,Xelor,993,66,38,200.0,63.46,3790
Kevan-Ill,Oshimo,Xelor,1103,29,25,200.0,53.7,3782
Swer,Terra Cogita,Sacrogrito,1074,28,16,200.0,63.64,3781
Rey-Acosta,Brutas,Aniripsa,951,82,59,200.0,58.16,3775
Petit-mars,Terra Cogita,Sacrogrito,869,61,31,200.0,66.3,3775
Anu-Beast,Brutas,Anutrof,854,58,27,200.0,68.24,3775
Tyroxeur,Terra Cogita,Yopuka,902,55,23,200.0,70.51,3775
Zarubened,Brutas,Feca,930,76,51,200.0,59.84,3775
Distrito,Brutas,Feca,942,94,75,200.0,55.62,3775
Venamoerte,Herdegrize,Sram,1098,14,4,200.0,77.78,3775
Gkaye,Brutas,Feca,909,67,39,200.0,63.21,3775
Ariaa-stark,Herdegrize,Aniripsa,1101,50,47,200.0,51.55,3772
Kaile-Surfer,Herdegrize,Aniripsa,1062,55,31,200.0,63.95,3768
Booty-Slap,Dodge,Tymador,1037,28,10,200.0,73.68,3765
Planxty,Herdegrize,Feca,1072,48,36,200.0,57.14,3764
Dazzh-Pvp,Brutas,Xelor,962,90,73,200.0,55.21,3758
Mega-Flecha,Brutas,Ocra,946,80,62,200.0,56.34,3756
Sanemi,Terra Cogita,Pandawa,941,81,60,200.0,57.45,3756
Fredis,Oshimo,Aniripsa,1087,29,11,200.0,72.5,3752
Last-Trom,Oshimo,Sram,949,42,6,200.0,87.5,3750
Bahoz,Terra Cogita,Sram,867,60,30,199.0,66.67,3750
Tundras,Brutas,Pandawa,969,51,18,200.0,73.91,3750
Movimiento-caha,Brutas,Sadida,1135,15,4,200.0,78.95,3743
Nothingness,Terra Cogita,Osamodas,1107,14,4,200.0,77.78,3740
Draglos,Terra Cogita,Pandawa,999,158,184,200.0,46.2,3738
Doppeul,Brutas,Tymador,1126,10,5,200.0,66.67,3737
Tarano,Terra Cogita,Aniripsa,1068,46,21,200.0,68.66,3733
Legolaszer,Oshimo,Ocra,1003,69,58,200.0,54.33,3730
Rojas-elit,Brutas,Ocra,923,76,52,200.0,59.38,3727
Hinagiku,Brutas,Aniripsa,927,98,81,200.0,54.75,3725
Cadaverx,Grandapan,Sram,877,77,53,200.0,59.23,3725
Nerons-eni,Brutas,Aniripsa,908,83,61,200.0,57.64,3725
Jun-Gle,Terra Cogita,Sadida,978,50,17,200.0,74.63,3725
Tampa-x,Herdegrize,Steamer,930,65,37,200.0,63.73,3725
Bloods-test,Oshimo,Sacrogrito,887,78,57,200.0,57.78,3723
Storm-x,Terra Cogita,Zobal,989,63,35,200.0,64.29,3718
Atronxx,Oshimo,Anutrof,963,130,124,200.0,51.18,3715
Konoha-Hokage,Brutas,Aniripsa,1114,23,10,200.0,69.7,3699
Annoussaa,Oshimo,Yopuka,966,67,42,200.0,61.47,3697
Gettos-Fek,Brutas,Feca,971,87,67,200.0,56.49,3692
Anzs,Herdegrize,Ocra,951,55,33,200.0,62.5,3690
Melf-Soul,Brutas,Zobal,954,105,91,200.0,53.57,3677
Klaus-op,Brutas,Sram,943,51,19,200.0,72.86,3675
Daniel-Com,Brutas,Ocra,908,87,67,200.0,56.49,3675
Strath,Herdegrize,Sacrogrito,999,58,36,200.0,61.7,3674
Pett-ard,Oshimo,Yopuka,1098,15,8,200.0,65.22,3670
Awwa,Brutas,Pandawa,1033,69,65,200.0,51.49,3667
Ice-Dracq,Brutas,Sram,961,65,38,200.0,63.11,3665
Mariajuana-xx,Brutas,Feca,954,92,74,200.0,55.42,3664
Dark-masterr,Brutas,Feca,951,71,46,200.0,60.68,3661
Tyronh,Brutas,Ocra,849,98,82,200.0,54.44,3657
Swedzer,Herdegrize,Pandawa,1099,32,30,200.0,51.61,3655
Ragnar-Lotbrock,Herdegrize,Yopuka,994,99,98,200.0,50.25,3654
Romarvi,Brutas,Sram,933,89,70,200.0,55.97,3650
Gold-Narszil,Brutas,Ocra,874,62,34,199.0,64.58,3650
Kuroashi-sanji,Grandapan,Sacrogrito,938,80,58,199.0,57.97,3650
Sebastopolde,Terra Cogita,Aniripsa,1141,24,10,200.0,70.59,3644
Heavy-time,Herdegrize,Yopuka,1107,21,20,200.0,51.22,3644
Lady-Killer,Herdegrize,Aniripsa,1073,40,36,200.0,52.63,3642
Jolix-Mand,Herdegrize,Ocra,956,30,0,200.0,100.0,3641
Qaralina,Oshimo,Feca,1130,21,15,200.0,58.33,3640
Senerype,Oshimo,Sadida,1000,81,60,200.0,57.45,3640
Mael-ys,Oshimo,Aniripsa,1136,19,11,200.0,63.33,3638
Neme-Isis,Oshimo,Feca,1036,42,21,200.0,66.67,3636
As-lyls,Herdegrize,Pandawa,1040,27,4,200.0,87.1,3635
Maylss,Oshimo,Zobal,1050,36,25,200.0,59.02,3627
Vivora-mis,Brutas,Xelor,964,58,29,200.0,66.67,3625
Zumito-Hdp,Brutas,Xelor,913,79,57,200.0,58.09,3625
Janne-l,Brutas,Feca,940,55,25,200.0,68.75,3625
Shoun-Murphy,Brutas,Ocra,924,56,27,200.0,67.47,3625
Lesterg,Terra Cogita,Aniripsa,1110,41,28,200.0,59.42,3622
Nenetteu,Terra Cogita,Xelor,1088,47,37,200.0,55.95,3622
Neterox,Grandapan,Zobal,1094,39,42,200.0,48.15,3621
Le-Gouvernement,Oshimo,Sram,972,70,48,200.0,59.32,3620
Lytchis,Oshimo,Feca,1057,44,29,200.0,60.27,3611
Luukhette,Terra Cogita,Xelor,1092,57,62,200.0,47.9,3607
Gwadaxel,Terra Cogita,Xelor,999,55,41,200.0,57.29,3604
Christine-Lagar,Terra Cogita,Sram,1047,50,50,200.0,50.0,3602
Natachatteux,Oshimo,Ocra,912,105,92,200.0,53.3,3601
Lauraff,Herdegrize,Anutrof,931,111,100,200.0,52.61,3600
Heyk,Oshimo,Sacrogrito,962,54,24,200.0,69.23,3600
Nutu,Brutas,Aniripsa,915,36,0,200.0,100.0,3600
Panda-alcoholic,Brutas,Pandawa,784,36,0,200.0,100.0,3600
Arczouila,Herdegrize,Ocra,1027,54,55,200.0,49.54,3598
Mere-Bichet,Terra Cogita,Tymador,951,56,28,200.0,66.67,3597
Iizo,Oshimo,Sram,969,49,47,200.0,51.04,3593
Bone-x,Grandapan,Sram,1044,40,33,200.0,54.79,3587
Freulard,Herdegrize,Osamodas,1026,45,26,200.0,63.38,3586
Fox-Lipa,Brutas,Xelor,1081,28,15,200.0,65.12,3585
Meelya,Oshimo,Sram,1034,43,31,200.0,58.11,3585
Symbiotic,Dodge,Osamodas,1017,33,12,200.0,73.33,3579
Eloz,Brutas,Anutrof,959,104,94,200.0,52.53,3579
Criminal-blt,Brutas,Sadida,933,71,47,200.0,60.17,3575
Ennemi-Public,Terra Cogita,Feca,976,47,15,200.0,75.81,3575
Enii-komouk,Terra Cogita,Aniripsa,987,86,67,200.0,56.21,3575
Kpi-Ten,Oshimo,Sadida,1048,38,13,200.0,74.51,3570
Agentsasentlesa,Herdegrize,Yopuka,1063,26,19,200.0,57.78,3569
Eniataak,Herdegrize,Aniripsa,1015,90,88,200.0,50.56,3568
Ekajata,Dodge,Pandawa,969,87,69,200.0,55.77,3567
Capitaine-Yello,Terra Cogita,Osamodas,1117,10,0,200.0,100.0,3565
Moldh,Brutas,Sram,928,70,46,200.0,60.34,3562
Makavelii,Grandapan,Zobal,990,41,9,200.0,82.0,3560
Coloneil,Herdegrize,Sacrogrito,969,69,49,200.0,58.47,3559
Raven-Moon,Oshimo,Sacrogrito,1060,35,23,200.0,60.34,3558
Ozymandiax,Brutas,Yopuka,968,42,10,200.0,80.77,3555
Xl-Monster,Herdegrize,Osamodas,774,14,14,200.0,50.0,3551
Anubiz-Black,Brutas,Yopuka,918,58,30,200.0,65.91,3550
Bersekens,Brutas,Yopuka,924,85,66,200.0,56.29,3550
Wejjdene,Oshimo,Xelor,1026,50,28,200.0,64.1,3542
Duke-Kaboom,Herdegrize,Sram,971,62,36,200.0,63.27,3541
Khissouss,Herdegrize,Yopuka,998,97,91,200.0,51.6,3535
Darkkiss,Dodge,Sram,978,58,27,200.0,68.24,3535
Eenvidia,Brutas,Pandawa,984,96,88,200.0,52.17,3533
Mata-pirrak,Brutas,Sram,1047,32,15,200.0,68.09,3528
Demoniase,Terra Cogita,Sram,910,66,41,200.0,61.68,3525
Nerons-dawa,Brutas,Pandawa,918,75,53,200.0,58.59,3525
Om-mega,Terra Cogita,Yopuka,847,60,33,200.0,64.52,3525
Fakenza,Terra Cogita,Sram,889,123,117,200.0,51.25,3525
Sayshi,Oshimo,Zobal,1036,33,10,200.0,76.74,3523
Kandil,Herdegrize,Steamer,1035,24,6,200.0,80.0,3516
Sorgun,Terra Cogita,Sram,1076,20,9,200.0,68.97,3512
Shelox,Brutas,Xelor,961,84,66,199.0,56.0,3506
Mr-Ockra,Brutas,Ocra,842,68,44,200.0,60.71,3500
Demozax,Brutas,Yopuka,902,104,92,200.0,53.06,3500
Johann-Fichte,Brutas,Sram,904,83,64,200.0,56.46,3500
Akirashiki,Grandapan,Pandawa,911,86,68,200.0,55.84,3500
Darck-nerons,Brutas,Yopuka,879,77,56,200.0,57.89,3500
Matiasx,Brutas,Ocra,851,50,20,199.0,71.43,3500
Dont-cries,Dodge,Sacrogrito,1034,63,47,200.0,57.27,3492
Sku-percute,Herdegrize,Sacrogrito,1003,53,25,200.0,67.95,3490
Griubz,Oshimo,Tymador,949,102,90,200.0,53.12,3490
Melyodas,Oshimo,Yopuka,1063,26,15,200.0,63.41,3488
El-Barrio,Oshimo,Xelor,995,64,39,200.0,62.14,3487
Arya-start,Brutas,Xelor,1009,50,24,200.0,67.57,3484
Clenbuterol,Grandapan,Pandawa,952,48,19,200.0,71.64,3483
Joelina,Brutas,Xelor,990,58,31,200.0,65.17,3480
Refes,Herdegrize,Xelor,1016,61,37,200.0,62.24,3478
Capriizz,Dodge,Yopuka,961,116,109,200.0,51.56,3476
Andres-anuf,Brutas,Anutrof,1018,34,12,200.0,73.91,3476
Mi-micus,Brutas,Xelor,927,43,11,200.0,79.63,3475
Subita,Brutas,Xelor,877,121,115,200.0,51.27,3475
Ganjaah,Brutas,Zobal,911,40,7,200.0,85.11,3475
Ixon,Terra Cogita,Sacrogrito,1025,48,34,200.0,58.54,3473
Supre,Brutas,Tymador,977,76,68,200.0,52.78,3472
Blood-thurst,Oshimo,Xelor,1020,61,41,200.0,59.8,3470
Tyroin,Dodge,Sacrogrito,1077,23,10,200.0,69.7,3467
Direwolf,Dodge,Sram,1078,22,17,200.0,56.41,3464
Pella-pneu,Herdegrize,Xelor,1112,13,0,200.0,100.0,3463
Wakaala,Terra Cogita,Sram,996,44,21,200.0,67.69,3460
Bexerra,Brutas,Sram,875,84,66,200.0,56.0,3450
Krappy,Brutas,Pandawa,939,117,110,200.0,51.54,3450
Crog-Bwooke,Oshimo,Sram,949,114,106,200.0,51.82,3450
Ekartel,Oshimo,Xelor,1025,77,67,200.0,53.47,3447
Hystios,Herdegrize,Sadida,1001,76,59,200.0,56.3,3430
Steamada,Brutas,Steamer,852,65,41,200.0,61.32,3425
Shayta-Yo,Herdegrize,Anutrof,908,101,89,200.0,53.16,3425
Kiwitto,Brutas,Aniripsa,974,53,25,200.0,67.95,3425
Atletico-Madrid,Brutas,Sacrogrito,895,80,61,200.0,56.74,3425
Radiography,Brutas,Sram,912,41,9,200.0,82.0,3425
Seqzh,Oshimo,Xelor,1068,22,3,200.0,88.0,3419
Flomxel,Terra Cogita,Xelor,1040,47,22,200.0,68.12,3417
Seek-destroy,Oshimo,Feca,1066,28,12,200.0,70.0,3417
Sangoahahaha,Herdegrize,Zurcarak,935,72,57,200.0,55.81,3413
Mewlex,Terra Cogita,Sacrogrito,1071,37,39,200.0,48.68,3410
Myonoku,Oshimo,Pandawa,1036,38,18,200.0,67.86,3405
Divino-Eni,Brutas,Aniripsa,962,70,48,200.0,59.32,3400
Yasuken,Terra Cogita,Aniripsa,983,58,32,200.0,64.44,3400
Owned-zizouite,Oshimo,Yopuka,1049,22,8,200.0,73.33,3391
Epy-nacolados,Oshimo,Zobal,1051,33,19,200.0,63.46,3390
Zealer,Terra Cogita,Sacrogrito,1000,45,18,200.0,71.43,3390
Jarrazo,Brutas,Pandawa,1139,12,6,200.0,66.67,3384
Sa-ditquoi,Terra Cogita,Sadida,1070,20,0,200.0,100.0,3383
Camuflada,Brutas,Sram,999,50,32,200.0,60.98,3379
Drouilo,Oshimo,Sacrogrito,1045,33,19,200.0,63.46,3378
Miss-meivis,Brutas,Aniripsa,958,57,31,200.0,64.77,3375
Johnny-Manson,Dodge,Yopuka,890,66,43,200.0,60.55,3375
Lady-ely,Brutas,Anutrof,940,45,15,200.0,75.0,3375
Hygiess,Terra Cogita,Aniripsa,1134,19,11,200.0,63.33,3372
Ox-tanks,Herdegrize,Sacrogrito,961,95,84,200.0,53.07,3371
Trunk-kill,Herdegrize,Sacrogrito,1036,44,25,200.0,63.77,3358
Voskul,Oshimo,Yopuka,1040,21,5,200.0,80.77,3353
Comtedukrak,Oshimo,Xelor,977,71,50,200.0,58.68,3351
Zero-lation,Brutas,Sacrogrito,955,92,78,200.0,54.12,3350
Maistar,Grandapan,Sram,892,62,38,200.0,62.0,3350
Elise-Angel,Brutas,Feca,880,131,130,200.0,50.19,3350
Para-noiaque,Terra Cogita,Sacrogrito,1065,25,12,200.0,67.57,3346
Ki-kly,Oshimo,Ocra,925,73,64,200.0,53.28,3344
Ola-Jana,Oshimo,Sram,1017,25,2,200.0,92.59,3344
