Nombres,Servidores,Clases,Cotas,Ganados,Perdidos,Niveles,% Winrate,Puntos
Ulkette,Oshimo,Sram,1004,12,2,200.0,85.71,1064
Ezal,Brutas,Zurcarak,939,52,59,200.0,46.85,1063
Captain-blindag,Oshimo,Feca,998,28,24,200.0,53.85,1062
Zizouite,Oshimo,Xelor,1048,10,4,200.0,71.43,1062
Nagaz-aki,Herdegrize,Ocra,978,19,18,200.0,51.35,1060
El-balazo,Brutas,Ocra,920,24,18,200.0,57.14,1060
Hatikawa,Oshimo,Feca,1036,16,11,200.0,59.26,1059
Jiaoh,Herdegrize,Yopuka,1081,9,9,200.0,50.0,1058
Tshut-up,Grandapan,Sram,932,12,3,200.0,80.0,1056
Yafoyakwa,Terra Cogita,Feca,1076,16,16,200.0,50.0,1056
Sambat,Terra Cogita,Ocra,999,18,18,200.0,50.0,1055
Kayanae,Brutas,Feca,896,15,6,200.0,71.43,1050
Antikramos,Oshimo,Sacrogrito,1005,22,17,200.0,56.41,1050
Zayo-Debol,Brutas,Anutrof,888,72,82,199.0,46.75,1050
James-deen,Herdegrize,Pandawa,880,12,2,200.0,85.71,1050
Humbeldore,Grandapan,Xelor,824,30,26,199.0,53.57,1050
Vitruvius,Herdegrize,Yopuka,899,30,26,200.0,53.57,1050
Usilord,Brutas,Sram,913,12,2,200.0,85.71,1050
Sr-nasherr,Oshimo,Yopuka,868,21,14,200.0,60.0,1050
Nyoky,Brutas,Sacrogrito,973,24,18,200.0,57.14,1050
Diose-skull,Grandapan,Sram,877,27,22,200.0,55.1,1050
Uniten,Herdegrize,Ocra,894,21,14,200.0,60.0,1050
Grossmoulaa,Terra Cogita,Aniripsa,967,21,14,200.0,60.0,1050
Gunsh-arf,Herdegrize,Sram,911,12,2,200.0,85.71,1050
Willz,Brutas,Sacrogrito,936,18,10,199.0,64.29,1050
Lolowzer,Herdegrize,Xelor,942,21,14,200.0,60.0,1050
Dreiya,Brutas,Osamodas,872,21,14,200.0,60.0,1050
Tesoupasla,Oshimo,Sram,886,126,154,200.0,45.0,1050
Opuim,Oshimo,Xelor,917,42,42,200.0,50.0,1050
Dariel-xix,Brutas,Feca,961,57,62,200.0,47.9,1050
Freshmeat,Herdegrize,Sacrogrito,961,12,2,200.0,85.71,1050
Ni-kita,Terra Cogita,Yopuka,866,30,26,200.0,53.57,1050
Zedkr,Terra Cogita,Xelor,879,15,6,200.0,71.43,1050
Grandperedudomp,Terra Cogita,Anutrof,983,28,26,200.0,51.85,1048
Parduss,Brutas,Zurcarak,912,50,53,200.0,48.54,1046
Toutcapourmille,Terra Cogita,Yopuka,913,26,27,200.0,49.06,1045
Blackmambaa,Herdegrize,Sadida,1007,13,4,200.0,76.47,1044
Papi-picsous,Terra Cogita,Anutrof,1022,15,14,200.0,51.72,1041
Dark-Reena,Herdegrize,Ocra,974,34,39,200.0,46.58,1038
Coinpitaine,Terra Cogita,Sram,1042,10,7,200.0,58.82,1038
Boultaze,Oshimo,Aniripsa,1122,19,23,200.0,45.24,1038
Elysiann,Grandapan,Aniripsa,1099,13,12,200.0,52.0,1037
Boyla,Oshimo,Tymador,981,16,10,200.0,61.54,1036
Retiro-Too,Brutas,Xelor,999,37,37,200.0,50.0,1034
Kazanna,Terra Cogita,Zurcarak,1005,16,15,200.0,51.61,1032
Xv-King,Oshimo,Sacrogrito,991,29,25,200.0,53.7,1031
Mr-poneyy,Herdegrize,Osamodas,1002,10,2,200.0,83.33,1030
Slei,Brutas,Osamodas,957,20,13,200.0,60.61,1029
Tiger-x,Brutas,Steamer,966,22,16,200.0,57.89,1029
Hyppercut,Herdegrize,Ocra,960,33,35,200.0,48.53,1028
Avengelyne,Brutas,Ocra,914,23,17,200.0,57.5,1028
Boltac,Oshimo,Sacrogrito,1048,10,5,200.0,66.67,1027
Orejaime,Grandapan,Sram,961,22,16,200.0,57.89,1026
Eldiosjah,Brutas,Zurcarak,885,59,65,200.0,47.58,1025
No-Care,Brutas,Ocra,894,26,21,200.0,55.32,1025
Saalomee,Brutas,Yopuka,931,41,41,200.0,50.0,1025
Legiondorada,Brutas,Ocra,894,17,9,200.0,65.38,1025
